wavelength,chn1,chn2,chn3,chn4,chn5,chn6,chn7,chn8
0.35,1.89E-04,0,0,0,0,0,0,0
0.3525,6.97E-05,0,0,0,0,0,0,0
0.355,3.35E-04,0,0,0,0,0,0,0
0.3575,3.66E-04,0,0,0,0,0,0,0
0.36,5.11E-04,0,0,0,0,0,0,0
0.3625,2.99E-04,0,0,0,0,0,0,0
0.365,2.03E-04,0,0,0,0,0,0,0
0.3675,3.75E-04,0,0,0,0,0,0,0
0.37,2.34E-04,0,0,0,0,0,0,0
0.3725,3.99E-04,0,0,0,0,0,0,0
0.375,7.28E-04,0,0,0,0,0,0,0
0.3775,0.00214,0,0,0,0,0,0,0
0.38,0.00655,0,0,0,0,0,0,0
0.3825,0.01937,0,0,0,0,0,0,0
0.385,0.05544,0,0,0,0,0,0,0
0.3875,0.16503,0,0,0,0,0,0,0
0.39,0.39442,0,0,0,0,0,0,0
0.3925,0.65265,0,0,0,0,0,0,0
0.395,0.81745,0,0,0,0,0,0,0
0.3975,0.91966,0,0,0,0,0,0,0
0.4,0.98396,1.45E-04,0,0,0,0,0,0
0.4025,0.99517,2.68E-04,0,0,0,0,0,0
0.405,0.89611,1.15E-05,0,0,0,0,0,0
0.4075,0.60783,2.17E-04,0,0,0,0,0,0
0.41,0.30107,1.49E-04,0,0,0,0,0,0
0.4125,0.13437,1.35E-04,0,0,0,0,0,0
0.415,0.06302,2.18E-04,0,0,0,0,0,0
0.4175,0.03301,2.69E-04,0,0,0,0,0,0
0.42,0.0186,6.27E-04,0,0,0,0,0,0
0.4225,0.01137,8.22E-04,0,0,0,0,0,0
0.425,0.00769,1.32E-03,0,0,0,0,0,0
0.4275,0.00514,2.26E-03,0,0,0,0,0,0
0.43,0.00375,0.00465,0,0,0,0,0,0
0.4325,0.0025,0.01166,0,0,0,0,0,0
0.435,0.0018,0.03306,0,0,0,0,0,0
0.4375,0.00133,0.1111,0,0,0,0,0,0
0.44,9.88E-04,0.34022,0,0,0,0,0,0
0.4425,6.96E-04,0.70507,0,0,0,0,0,0
0.445,6.50E-04,0.9043,0,0,0,0,0,0
0.4475,5.57E-04,0.96413,0,0,0,0,0,0
0.45,2.81E-04,0.98975,4.56E-05,0,0,0,0,0
0.4525,0,0.99982,1.18E-04,0,0,0,0,0
0.455,0,0.98264,1.47E-04,0,0,0,0,0
0.4575,0,0.82163,5.23E-05,0,0,0,0,0
0.46,0,0.4682,1.69E-04,0,0,0,0,0
0.4625,0,0.19465,3.20E-04,0,0,0,0,0
0.465,0,0.07751,2.57E-04,0,0,0,0,0
0.4675,0,0.0351,3.57E-04,0,0,0,0,0
0.47,0,0.01725,6.18E-04,0,0,0,0,0
0.4725,0,0.00957,8.83E-04,0,0,0,0,0
0.475,0,0.00578,0.00156,0,0,0,0,0
0.4775,0,3.68E-03,0.00311,0,0,0,0,0
0.48,0,2.51E-03,0.00655,0,0,0,0,0
0.4825,0,0.00171,0.01651,0,0,0,0,0
0.485,0,0.00132,0.0448,0,0,0,0,0
0.4875,0,1.08E-03,0.14257,0,0,0,0,0
0.49,0,7.98E-04,0.42353,0,0,0,0,0
0.4925,0,5.88E-04,0.84083,0,0,0,0,0
0.495,0,5.88E-04,0.98695,0,0,0,0,0
0.4975,0,5.00E-04,0.97777,0,0,0,0,0
0.5,0,3.12E-04,0.98817,0,0,0,0,0
0.5025,0,0,0.99901,0,0,0,0,0
0.505,0,0,9.90E-01,0,0,0,0,0
0.5075,0,0,8.89E-01,0,0,0,0,0
0.51,0,0,5.97E-01,0,0,0,0,0
0.5125,0,0,0.27749,0,0,0,0,0
