wavelength,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10
350,0,0,0,0,0,0,0,0,0,0
351,0,0,0,0,0,0,0,0,0,0
352,0,0,0,0,0,0,0,0,0,0
353,0,0,0,0,0,0,0,0,0,0
354,0,0,0,0,0,0,0,0,0,0
355,0,0,0,0,0,0,0,0,0,0
356,0,0,0,0,0,0,0,0,0,0
357,0,0,0,0,0,0,0,0,0,0
358,0,0,0,0,0,0,0,0,0,0
359,0,0,0,0,0,0,0,0,0,0
360,0,0,0,0,0,0,0,0,0,0
361,0.0000813,2.76E-05,5.69E-05,9.06E-06,0,0,0,1.92E-05,2.44E-06,9.46E-06
362,0.0001626,5.53E-05,0.000113894,1.81E-05,0,0,0,3.84E-05,4.88E-06,1.89E-05
363,0.0002439,8.29E-05,0.000170841,2.72E-05,0,0,0,5.77E-05,7.32E-06,2.84E-05
364,0.0003252,0.000110543,0.000227788,0.000036259,0,0,0,7.69E-05,9.77E-06,3.79E-05
365,0.0004065,0.000138179,0.000284735,4.53E-05,0,0,0,9.61E-05,1.22E-05,4.73E-05
366,0.0004878,0.000165815,0.000341681,5.44E-05,0,0,0,0.000115324,1.46E-05,5.68E-05
367,0.0005691,0.000193451,0.000398628,6.35E-05,0,0,0,0.000134545,1.71E-05,6.62E-05
368,0.0006504,0.000221086,0.000455575,0.000072518,0,0,0,0.000153766,1.95E-05,7.57E-05
369,0.0007317,0.000248722,0.000512522,8.16E-05,0,0,0,0.000172986,2.20E-05,8.52E-05
370,0.000813,0.000276358,0.000569469,9.06E-05,0,0,0,0.000192207,2.44E-05,9.46E-05
371,0.00073905,0.000268703,0.000550755,8.49E-05,0,0,0,0.000179472,3.14E-05,8.59E-05
372,0.0006651,0.000261048,0.000532041,7.91E-05,0,0,0,0.000166736,3.84E-05,7.71E-05
373,0.00059115,0.000253392,0.000513326,7.33E-05,0,0,0,0.000154001,4.53E-05,6.83E-05
374,0.0005172,0.000245737,0.000494612,6.75E-05,0,0,0,0.000141265,5.23E-05,5.95E-05
375,0.00044325,0.000238082,0.000475898,6.17E-05,0,0,0,0.00012853,0.000059276,5.07E-05
376,0.0003693,0.000230427,0.000457184,5.59E-05,0,0,0,0.000115794,6.62E-05,4.20E-05
377,0.00029535,0.000222772,0.00043847,5.01E-05,0,0,0,0.000103059,7.32E-05,3.32E-05
378,0.0002214,0.000215116,0.000419755,4.43E-05,0,0,0,9.03E-05,8.02E-05,2.44E-05
379,0.00014745,0.000207461,0.000401041,3.86E-05,0,0,0,7.76E-05,8.72E-05,1.56E-05
380,0.0000735,0.000199806,0.000382327,3.28E-05,0,0,0,6.49E-05,9.41E-05,6.84E-06
381,0.00011245,0.000201803,0.000370855,5.01E-05,0,0,0,6.88E-05,9.25E-05,8.55E-06
382,0.0001514,0.000203799,0.000359383,6.75E-05,0,0,0,7.28E-05,9.10E-05,1.03E-05
383,0.00019035,0.000205796,0.000347911,8.49E-05,0,0,0,7.68E-05,8.94E-05,1.20E-05
384,0.0002293,0.000207792,0.000336439,0.000102234,0,0,0,8.08E-05,0.000087783,1.37E-05
385,0.00026825,0.000209789,0.000324967,0.0001196,0,0,0,8.48E-05,8.62E-05,1.54E-05
386,0.0003072,0.000211786,0.000313494,0.000136966,0,0,0,8.88E-05,8.46E-05,1.71E-05
387,0.00034615,0.000213782,0.000302022,0.000154332,0,0,0,9.28E-05,8.30E-05,1.88E-05
388,0.0003851,0.000215779,0.00029055,0.000171699,0,0,0,9.68E-05,8.14E-05,2.05E-05
389,0.00042405,0.000217775,0.000279078,0.000189065,0,0,0,0.000100826,7.98E-05,2.22E-05
390,0.000463,0.000219772,0.000267606,0.000206431,0,0,0,0.000104823,7.83E-05,2.39E-05
391,0.0004642,0.000206303,0.000382557,0.000190671,0,0,0,0.00010882,7.25E-05,3.17E-05
392,0.0004654,0.000192833,0.000497509,0.000174912,0,0,0,9.39E-05,6.67E-05,3.95E-05
393,0.0004666,0.000179364,0.00061246,0.000159152,0,0,0,0.000146412,6.09E-05,4.74E-05
394,0.0004678,0.000165894,0.000727412,0.000143393,0,0,0,0.000292044,5.51E-05,5.52E-05
395,0.000469,0.000152425,0.000842363,0.000127633,0,0,0,0.000207939,4.94E-05,6.30E-05
396,0.0004702,0.000138956,0.000957314,0.000111874,0,0,0,0.000452254,4.36E-05,7.08E-05
397,0.0004714,0.000125486,0.001072266,9.61E-05,0,0,0,0.000830508,3.78E-05,7.86E-05
398,0.0004726,0.000112017,0.001187217,8.04E-05,0,0,0,0.001540577,3.20E-05,8.64E-05
399,0.0004738,9.85E-05,0.001302169,6.46E-05,0,0,0,0.003404646,2.62E-05,9.42E-05
400,0.000475,8.51E-05,0.00141712,4.88E-05,0,0,0,0.00710817,2.05E-05,0.000101964
401,0.0004429,7.76E-05,0.001385438,4.40E-05,0,0,0,0.014805682,2.69E-05,0.000289003
402,0.0004108,7.01E-05,0.001353756,3.91E-05,0,0,0,0.040718242,3.33E-05,0.000476041
403,0.0003787,6.26E-05,0.001322074,3.42E-05,0,0,0,0.138400335,3.97E-05,0.00066308
