wavelength,201908271545ATR01,201908311341ATR02,201908311347ATR00
350,0.09463,0.09508,0.09488
351,0.09488,0.09546,0.09514
352,0.09499,0.09566,0.09534
353,0.09538,0.09601,0.09574
354,0.09562,0.0962,0.0959
355,0.09566,0.09626,0.09582
356,0.09602,0.09675,0.09626
357,0.09654,0.09738,0.09685
358,0.09689,0.09778,0.09722
359,0.09719,0.09806,0.09753
360,0.0977,0.09854,0.09803
361,0.09803,0.09887,0.09836
362,0.09832,0.09918,0.09863
363,0.09864,0.09953,0.09884
364,0.099,0.09995,0.09924
365,0.09941,0.1004,0.0997
366,0.09986,0.10082,0.10009
367,0.10018,0.10115,0.10035
368,0.10039,0.10143,0.10062
369,0.10062,0.10177,0.10095
370,0.10093,0.10214,0.10124
371,0.10134,0.1025,0.1016
372,0.10179,0.10296,0.10204
373,0.10221,0.10345,0.10248
374,0.10273,0.10396,0.10298
375,0.10314,0.10449,0.10344
376,0.10354,0.10495,0.10386
377,0.10425,0.10556,0.10452
378,0.10472,0.10603,0.10497
379,0.10511,0.10653,0.10542
380,0.10555,0.10709,0.10591
381,0.10621,0.10777,0.10651
382,0.1066,0.10822,0.10696
383,0.10709,0.10875,0.10748
384,0.10768,0.10933,0.10803
385,0.10839,0.11002,0.10866
386,0.10897,0.11062,0.10926
387,0.10964,0.11132,0.10996
388,0.11041,0.11213,0.11073
389,0.11101,0.11277,0.11138
390,0.11148,0.11332,0.11185
391,0.11211,0.114,0.11242
392,0.11278,0.1146,0.11304
393,0.11337,0.11525,0.11359
394,0.11396,0.11592,0.11421
395,0.1144,0.11639,0.1147
396,0.11491,0.11688,0.11515
397,0.1155,0.11744,0.11571
398,0.11609,0.11799,0.11628
399,0.11651,0.11836,0.11664
400,0.11707,0.11883,0.11713
401,0.1175,0.11928,0.11752
402,0.11787,0.11969,0.11783
403,0.11817,0.12008,0.1182
404,0.11856,0.12054,0.11865
405,0.11896,0.12098,0.11903
406,0.11934,0.12137,0.11937
407,0.11981,0.12186,0.11985
408,0.12026,0.12237,0.12033
409,0.12068,0.12284,0.12077
410,0.12111,0.12327,0.12116
411,0.12161,0.12382,0.12167
412,0.12208,0.12434,0.12217
413,0.12253,0.12482,0.12263
414,0.12304,0.12533,0.12311
415,0.12347,0.12581,0.12358
416,0.12392,0.12632,0.12405
417,0.12445,0.12685,0.12454
418,0.125,0.12741,0.12506
419,0.12549,0.12794,0.12556
420,0.12598,0.12847,0.12605
421,0.12653,0.12904,0.12659
422,0.12708,0.12965,0.12714
423,0.12764,0.13025,0.1277
424,0.1282,0.13083,0.12826
425,0.12874,0.1314,0.1288
426,0.12932,0.132,0.12936
427,0.12993,0.13264,0.12998
428,0.13058,0.13332,0.13064
429,0.13122,0.13401,0.13128
430,0.13193,0.13473,0.13195
431,0.13268,0.13545,0.13264
432,0.13339,0.13616,0.13333
433,0.13405,0.13683,0.13399
434,0.13471,0.13749,0.13461
435,0.13538,0.13815,0.13522
436,0.13605,0.13884,0.13588
437,0.13668,0.13951,0.13648
438,0.13729,0.14014,0.13707
439,0.13793,0.14077,0.13768
440,0.13859,0.14141,0.13829
441,0.13922,0.14204,0.1389
442,0.13983,0.14264,0.13948
443,0.14043,0.14327,0.14008
444,0.14102,0.14387,0.14062
445,0.14157,0.14443,0.14114
446,0.1421,0.14497,0.14165
447,0.1426,0.14549,0.14215
448,0.1431,0.14598,0.14263
449,0.1436,0.14646,0.1431
450,0.14405,0.14694,0.14354
451,0.14447,0.14737,0.14395
452,0.14486,0.14779,0.14433
453,0.14524,0.14817,0.14469
454,0.1456,0.14855,0.14507
455,0.14599,0.14897,0.14544
456,0.1464,0.14938,0.14583
457,0.14678,0.14978,0.14623
458,0.14714,0.15017,0.14657
459,0.14749,0.15055,0.14693
460,0.14785,0.15094,0.14729
461,0.14823,0.15133,0.14766
462,0.14857,0.15168,0.148
463,0.1489,0.15203,0.14832
464,0.14924,0.15239,0.14863
465,0.14957,0.15268,0.14891
466,0.14988,0.15298,0.1492
467,0.15018,0.15328,0.14949
468,0.15049,0.15358,0.14977
469,0.15078,0.15385,0.15002
470,0.15107,0.15414,0.15028
471,0.15137,0.15443,0.15056
472,0.15167,0.15471,0.15084
473,0.15195,0.15501,0.15111
474,0.15225,0.15531,0.15138
475,0.15256,0.15565,0.15169
476,0.15289,0.15599,0.152
477,0.15321,0.15633,0.15232
478,0.15356,0.15671,0.15267
479,0.15394,0.15711,0.15305
480,0.15429,0.15748,0.15341
481,0.15467,0.15787,0.15378
482,0.15507,0.15831,0.15418
483,0.15544,0.15873,0.15459
484,0.15586,0.15919,0.15501
485,0.15632,0.15968,0.15545
486,0.15678,0.16017,0.15591
487,0.15728,0.16067,0.15638
488,0.15779,0.16119,0.15688
489,0.1583,0.16169,0.15738
490,0.15879,0.16217,0.15782
491,0.15925,0.16268,0.15828
492,0.15971,0.16319,0.15875
493,0.1602,0.16368,0.15924
494,0.16071,0.1642,0.15973
495,0.16122,0.1647,0.16024
496,0.16171,0.16522,0.16074
497,0.16223,0.16578,0.16124
498,0.16278,0.16635,0.16176
499,0.16334,0.16693,0.16229
500,0.16391,0.1675,0.16285
501,0.16448,0.16803,0.16338
502,0.16503,0.16858,0.16389
503,0.16557,0.16912,0.1644
504,0.1661,0.16964,0.16492
505,0.16664,0.17018,0.16543
506,0.16718,0.17072,0.16593
507,0.16771,0.17125,0.16642
508,0.16821,0.17177,0.16692
509,0.16874,0.17229,0.16742
510,0.16928,0.17281,0.16793
511,0.1699,0.17344,0.16854
512,0.1705,0.17409,0.16911
513,0.1711,0.17473,0.16972
514,0.17171,0.17537,0.17036
515,0.17232,0.17601,0.171
516,0.17294,0.17665,0.17162
517,0.17358,0.1773,0.17224
518,0.17424,0.17795,0.17286
519,0.17492,0.17859,0.17349
520,0.17554,0.17922,0.1741
521,0.17606,0.17971,0.17456
522,0.17659,0.18021,0.17503
523,0.17709,0.1807,0.17551
524,0.17757,0.18118,0.17596
525,0.17806,0.18167,0.17641
526,0.17859,0.18217,0.17689
527,0.17916,0.18268,0.17739
528,0.17973,0.1832,0.17789
529,0.18028,0.18369,0.17837
530,0.18079,0.18418,0.17882
531,0.1813,0.18468,0.17931
532,0.18182,0.1852,0.17981
533,0.18234,0.18572,0.18029
534,0.18289,0.18622,0.18079
535,0.18345,0.18675,0.1813
536,0.184,0.18729,0.1818
537,0.18452,0.18781,0.18232
538,0.18506,0.18834,0.18282
539,0.18563,0.18887,0.18334
540,0.18624,0.18944,0.18388
541,0.1869,0.19005,0.18448
542,0.18755,0.19069,0.18509
543,0.18819,0.19131,0.1857
544,0.18883,0.19193,0.18629
545,0.18946,0.19255,0.18689
546,0.1901,0.19319,0.18751
547,0.19074,0.19385,0.18813
548,0.1914,0.19449,0.18876
549,0.19206,0.19513,0.18938
550,0.19274,0.19579,0.19
551,0.19345,0.19644,0.19065
552,0.19414,0.19709,0.19127
553,0.19482,0.19773,0.19189
554,0.1955,0.19839,0.19251
555,0.19618,0.19902,0.19312
556,0.19687,0.19968,0.19375
557,0.19759,0.20035,0.19441
558,0.19831,0.20101,0.19506
559,0.19906,0.20167,0.19569
560,0.19981,0.20234,0.19635
561,0.20052,0.203,0.19698
562,0.2012,0.20362,0.19756
563,0.20187,0.20425,0.19816
564,0.20251,0.20487,0.19877
565,0.2031,0.2055,0.19935
566,0.20373,0.20611,0.19996
567,0.20439,0.20675,0.20056
568,0.20508,0.20739,0.20116
569,0.20577,0.20799,0.20174
570,0.20647,0.20857,0.20232
571,0.2072,0.20914,0.20289
572,0.20794,0.20971,0.20345
573,0.20864,0.21023,0.20398
574,0.20928,0.21075,0.20448
575,0.20989,0.21128,0.20498
576,0.21051,0.2118,0.20549
577,0.21112,0.21232,0.206
578,0.21171,0.21286,0.2065
579,0.21229,0.2134,0.20698
580,0.21288,0.21392,0.20748
581,0.21339,0.21444,0.20796
582,0.21387,0.21493,0.20839
583,0.21433,0.21538,0.20883
584,0.2148,0.21585,0.20929
585,0.21528,0.21633,0.20975
586,0.21576,0.21678,0.2102
587,0.21619,0.21721,0.21063
588,0.21661,0.21766,0.21105
589,0.21708,0.21811,0.21148
590,0.21763,0.21854,0.2119
591,0.21815,0.21892,0.21226
592,0.21858,0.21928,0.2126
593,0.21896,0.21961,0.21292
594,0.21932,0.21993,0.21324
595,0.21968,0.22025,0.21355
596,0.22002,0.22055,0.21384
597,0.22033,0.22081,0.21411
598,0.22064,0.22111,0.21439
599,0.22098,0.2214,0.21468
600,0.2213,0.22167,0.21495
601,0.22157,0.22193,0.21519
602,0.22193,0.22217,0.21544
603,0.22223,0.22239,0.21567
604,0.22245,0.22261,0.21586
605,0.22266,0.22281,0.21605
606,0.22289,0.22302,0.21625
